timestamp,node,container,cpu_pct,mem_used_mb,mem_limit_mb,net_rx,net_tx,block_io,phase
2026-08-04T20:57:23.399Z,D3,peer0.org3.example.com,6.05,245.00,15820.80,0B,0B,81.4MB/285MB,harnesscheck3
2026-08-04T20:57:23.399Z,D1,cc-unified,0.00,25.64,7816.19,0B,0B,483kB/0B,harnesscheck3
2026-08-04T20:57:23.399Z,D1,peer0.org1.example.com,9.16,293.10,7816.19,0B,0B,42.7MB/240MB,harnesscheck3
2026-08-04T20:57:23.399Z,D4,cc-unified,0.00,24.76,15820.80,0B,0B,160kB/0B,harnesscheck3
2026-08-04T20:57:23.399Z,D4,peer0.org4.example.com,1.83,311.00,15820.80,0B,0B,74.8MB/239MB,harnesscheck3
2026-08-04T20:57:23.399Z,D4,orderer.example.com,1.57,215.60,15820.80,0B,0B,460MB/179MB,harnesscheck3
2026-08-04T20:57:23.399Z,D2,orderer2.example.com,1.37,154.70,15912.96,0B,0B,4.7MB/678MB,harnesscheck3
2026-08-04T20:57:23.399Z,D2,cc-unified,0.00,24.13,15912.96,0B,0B,1.48MB/0B,harnesscheck3
2026-08-04T20:57:23.399Z,D2,peer0.org2.example.com,11.12,279.50,15912.96,0B,0B,133MB/1.13GB,harnesscheck3
2026-08-04T20:57:23.399Z,D1,HARNESS_bench.js,0.7,115.75,,,,threads=11,harnesscheck3
2026-08-04T20:57:27.926Z,D2,orderer2.example.com,1.29,154.90,15912.96,0B,0B,4.7MB/678MB,harnesscheck3
2026-08-04T20:57:27.926Z,D2,cc-unified,0.00,24.13,15912.96,0B,0B,1.48MB/0B,harnesscheck3
2026-08-04T20:57:27.926Z,D2,peer0.org2.example.com,20.22,279.00,15912.96,0B,0B,133MB/1.13GB,harnesscheck3
2026-08-04T20:57:27.926Z,D1,cc-unified,0.00,25.64,7816.19,0B,0B,483kB/0B,harnesscheck3
2026-08-04T20:57:27.926Z,D1,peer0.org1.example.com,9.15,293.90,7816.19,0B,0B,42.7MB/240MB,harnesscheck3
2026-08-04T20:57:27.926Z,D4,cc-unified,0.00,24.76,15820.80,0B,0B,160kB/0B,harnesscheck3
2026-08-04T20:57:27.926Z,D3,orderer3.example.com,1.64,156.30,15820.80,0B,0B,111kB/678MB,harnesscheck3
2026-08-04T20:57:27.926Z,D4,peer0.org4.example.com,2.66,311.00,15820.80,0B,0B,74.8MB/239MB,harnesscheck3
